,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
680479,Q20065081,Christopher Lee,transgender male,,,,,,
682204,Q4763232,Angie Xtravaganza,transgender female,,,,,,
687577,Q7343081,Veda Hlubinka-Cook,transgender female,,,,,,
687578,Q7351493,Roberta Close,transgender female,,,,,,
687579,Q7351493,Roberta Close,transgender female,,,,,,
690104,Q1986987,Nicole Eisenman,non-binary,,,,,,
690965,Q4714441,Alejandra Bogue,transgender female,,,,,,
694546,Q16196042,Jan Hamilton,transgender female,,,,,,
694851,Q16739206,Lann Hornscheidt,non-binary,,,,,,
695311,Q18685330,Cecilia Chung,transgender female,,,,,,
698979,Q58310404,Tereza Spencer,transgender female,,,,,,
699735,Q64778437,Janetta Johnson,transgender female,,,,,,
713399,Q2440011,Frank'a Waaldijk,transgender female,,,,,,
713545,Q3546641,BB Gandanghari,transgender female,,,,,,
714071,Q7920612,Venus Xtravaganza,transgender female,,,,,,
714384,Q15500705,Rachel Matt Thorn,transgender female,,,,,,
714695,Q21175275,Annie Wallace,transgender female,,,,,,
715898,Q258305,Vladimir Luxuria,transgender female,,,,,,
716679,Q6708945,Lynn Breedlove,transgender male,,,,,,
716864,Q9545711,Lana Wachowski,transgender female,,,,,,
720806,Q58819,Andreas Krieger,transgender male,,,,,,
723661,Q771690,Joey Soloway,non-binary,,homosexuality,,L371,,they/them
724268,Q5791027,Cris Miró,transgender female,,,,,,
724269,Q5791027,Cris Miró,travesti,,,,,,
724751,Q12973903,Q12973903,male organism,,,,,,
724788,Q15486680,T. Thorn Coyle,non-binary,,,,,,
725632,Q68172526,India Willoughby,transgender female,,,,,,
726013,Q14045,Moby,cisgender male,,heterosexuality,,,,
728673,Q95184582,Marie Cau,transgender female,,,,,,
729774,Q11604272,Izumi Yonezawa,transgender female,,,,,,
738104,Q15615390,Morgan Carpenter,intersex,,,,,,
739491,Q20676244,Hiker Chiu,intersex,,,,,,
739957,Q23664263,Small Luk,intersex,,,,,,
740492,Q28203396,Max Beck,intersex,,,,,,
756077,Q2635912,Jennifer Ventimilia,transgender female,,,,,,
756440,Q5990087,Maiamar Abrodos,transgender female,,,,,,
759376,Q15071710,Kristin Beck,transgender female,,,,,,
763059,Q111572,Stephen Trask,non-binary,,,,L371,,they/them
763060,Q111572,Stephen Trask,non-binary,,,,L485,,he/him
772632,Q183136,Lynette Nusbacher,transgender female,,,,,,
772685,Q450155,Mianne Bagger,transgender female,,,,,,
772784,Q1082874,Chris Zintzen-Bader,transgender male,,,,,,
776627,Q4755135,Andrea James,transgender female,,,,,,
776983,Q5372724,Eddie Ayres,transgender male,,,,,,
777195,Q5906853,Saman Arastoo,transgender male,,,,,,
777774,Q6862172,Mimi Marks,transgender female,,,,,,
778117,Q7765045,Julia Serano,transgender female,,bisexuality,,,,
781407,Q24250858,Geraldine Roman,transgender female,,,,,,
784536,Q64861278,Detlef Georgia Schulze,transgender female,,lesbianism,,,,
790061,Q2501637,Karen Dior,transgender female,,,,,,
792560,Q4720653,Alex Hai,transgender male,,,,,,
792630,Q5246294,Dani Laidley,transgender female,,,,,,
795973,Q21062831,Sheena Metal,intersex,,,,,,
797048,Q450868,Poppy Z. Brite,transgender male,,,,,,
797473,Q3546641,BB Gandanghari,transgender female,,,,,,
803737,Q28748026,Gwendolyn Ann Smith,transgender female,,,,,,
804360,Q97947077,Mar C. Llop,transgender female,,,,,,
804592,Q464844,Jin Xing,transgender female,,,,,,
807778,Q6118283,Jacob Anderson-Minshall,transgender male,,,,,,
808978,Q64009081,Drago Renteria,transgender male,,,,,,
811947,Q242443,Amanda Lepore,transgender female,,,,,,
814249,Q242443,Amanda Lepore,transgender female,,,,,,
814886,Q6205861,Joanna Jet,transgender female,,,,,,
815088,Q9544977,Lilly Wachowski,transgender female,,,,,,
816585,Q153599,Aya Kamikawa,transgender female,,,,,,
816810,Q815637,Belissa Andía Pérez,transgender female,,,,,,
817147,Q1648958,Terre Thaemlitz,transgender female,,,,,,
822058,Q19879731,Issa Fazli,transgender male,,,,,,
823876,Q40120098,Francis Ruyter,transgender male,,,,,,
824428,Q50825682,kimura byol-nathalie lemoine,neutral sex,,,,,,
825175,Q57813405,Ainara Ruiz,transgender female,,,,,,
825721,Q63729668,Uge Sangil,non-binary,,lesbianism,,,,
831586,Q4648116,A. M. Dellamonica,non-binary,,,,L371,,they/them
831981,Q9374590,Michael Ma,transgender male,,,,,,
835848,Q96139223,Alejandra González Pino,transgender female,,,,,,
836117,Q538283,Joanne Vannicola,non-binary,,,,L371,,they/them
839220,Q5981758,Ian Harvie,transgender male,,,,,,
839283,Q6408504,Kim Coco Iwamoto,transgender female,,,,,,
839817,Q16201693,Hida Viloria,non-binary,,,,L484,,she/her
839818,Q16201693,Hida Viloria,intersex,,,,L484,,she/her
843515,Q179988,Nikki Sinclaire,transgender female,,lesbianism,,,,
844740,Q16199586,Stacey Hollywood,transgender female,,,,,,
847363,Q20041893,Mia Nakamura,transgender female,,,,,,
854849,Q29048389,Salome,transgender female,,,,,,
857729,Q95228950,Alex Bakker,transgender male,,,,,,
859733,Q5084448,Charlie Jane Anders,transgender female,,,,L484,,she/her
859899,Q5336817,Eden Atwood,intersex,,,,,,
861404,Q11486446,Ruka Hirohata,transgender female,,,,,,
865628,Q49054380,Nguyen Huong Giang,transgender female,,,,,,
867054,Q64640566,Giovanna Rincon,transgender female,,,,,,
868665,Q87653598,Isabel Torres,transgender female,,,,,,
870163,Q99337405,Paula Arraigada,transgender female,,,,,,
872192,Q201204,Dana International,transgender female,,,,,,
873090,Q7908495,Vaginal Davis,intersex,,,,L484,,she/her
873091,Q7908495,Vaginal Davis,genderqueer,,,,L484,,she/her
874658,Q979387,Chaz Bono,transgender male,,,,,,
875021,Q3853956,Meghan Chavalier,transgender female,,,,,,
876857,Q94694398,Lisset Barcellos,intersex,,,,,,
878422,Q16224508,Seven Graham,non-binary,,,,L371,,they/them
878423,Q16224508,Seven Graham,intersex,,,,L371,,they/them
878524,Q18628114,Katja Anton Cronauer,non-binary,,,,L41654,,he/him
880328,Q4767817,Annalee Newitz,non-binary,,,,L371,,they/them
881178,Q20054091,Rebecca Root,transgender female,,,,,,
882641,Q3080639,Kaba-chan,transgender female,,,,,,
883982,Q47549309,Yogurinha Borova,transgender female,,,,,,
884872,Q95819,George Regout,non-binary,,,,L371,,they/them
884901,Q254431,Alexis Arquette,transgender female,,,,,,
887880,Q6096094,Ivan Coyote,non-binary,,,,L371,,they/them
889032,Q56547201,Izumi Hosaka,transgender female,,,,,,
890826,Q13218022,Erica Andrews,transgender female,,,,,,
897356,Q3175379,Sandra Forgues,transgender female,,,,,,
898912,Q61416047,Andrea Muñiz Celestino,transgender female,,,,,,
899605,Q468609,Paul B. Preciado,transgender male,,,,,,
901096,Q4495567,Tyra Hunter,transgender female,,,,,,
903182,Q11372146,Jun Igarashi,t2284280655,,,,,,
906953,Q29033239,Joanne Limburg,cisgender female,,,,,,
907997,Q48121410,Alexandra Chandler,transgender female,,,,,,
908110,Q52447367,Dominique Jackson,transgender female,,,,,,
908668,Q56849343,Lucas Platero,transgender male,,,,,,
913115,Q98908209,Monica Leon,transgender female,,,,,,
916713,Q20177251,Rachel Mann,transgender female,,,,,,
917630,Q234417,Yuu Watase,non-binary,,,,,,
919307,Q29016953,sj Miller,non-binary,,,,,,
926135,Q6837015,Michelle Dumaresq,transgender female,,,,,,
931979,Q25550826,Q25550826,male organism,,,,,,
933888,Q10321967,Léo Áquilla,transgender female,,,,,,
934715,Q55612790,Lizy Tagliani,transgender female,,,,,,
936172,Q6791281,Lilah Sturges,transgender female,,,,,,
938304,Q4726718,Alina María Hernández,transgender female,,,,,,
939621,Q63197629,Marta Reina Izquiano,transgender female,,,,,,
942473,Q90820952,Alpheratz,non-binary,,,,L296505,,L296505
945522,Q7608816,Stephanie Burt,transgender female,,,,,,
945888,Q11235940,DJUNA,t2274446875,,,,,,
946869,Q15615388,Tony Briffa,intersex,,,,,,
948534,Q22279144,Kael McKenzie,transgender male,,,,,,
949977,Q44955617,Monika Donner,transgender female,,,,,,
952487,Q70962892,Indianarae Alves Siqueira,non-binary,,,,L307268,,L307268
952488,Q70962892,Indianarae Alves Siqueira,travesti,,,,L307268,,L307268
952489,Q70962892,Indianarae Alves Siqueira,non-binary,,,,L43388,,she/her
952490,Q70962892,Indianarae Alves Siqueira,travesti,,,,L43388,,she/her
957606,Q3295771,Calpernia Addams,transgender female,,,,,,
958380,Q12587541,Kim Bi,transgender female,,,,,,
961560,Q56635670,Masen Davis,transgender male,,,,,,
962186,Q107629906,Maria Strong,non-binary,,,,,,
963313,Q11501241,Shō Arai,intersex,,,,,,
963314,Q11501241,Shō Arai,transgender male,,,,,,
966648,Q59104081,Cristina Judar,non-binary,,,,,,
967980,Q5232688,David Crouse,non-binary,,,,L371,,they/them
971770,Q64562117,Gabriel J. Martín,intersex,,,,,,
972631,Q2639039,Candis Cayne,transgender female,,,,,,
976414,Q20013155,Diego Aramburo,transgender female,,,,,,
977083,Q105684260,Jeffrey Ullom,male organism,,,,,,
977471,Q1262889,Anohni,transgender female,,,,L484,,she/her
977691,Q3301723,Mauro Cabral,transgender male,,,,,,
979617,Q99052066,Luisa Revilla,transgender female,,,,,,
982953,Q11473367,Miki Okae,transgender female,,,,,,
984246,Q146776,Zanele Muholi,non-binary,,,,L371,,they/them
984897,Q2098277,Planningtorock,non-binary,,,,L413030,,L413030
984898,Q2098277,Planningtorock,non-binary,,,,L304659,,L304659
984899,Q2098277,Planningtorock,non-binary,,,,L371,,they/them
984972,Q2386160,T Cooper,transgender male,,,,,,
985718,Q4886322,Rebecca Oppenheimer,transgender female,,,,,,
989157,Q19281843,Taylor Lianne Chandler,transgender female,,,,,,
991009,Q38320026,Judith Juanhuix,transgender female,,,,,,
995031,Q91360676,Marcela Pini,transgender female,,,,,,
997114,Q102069083,Lisa van Ginneken,transgender female,,,,,,
998358,Q201204,Dana International,transgender female,,,,,,
1001430,Q5750470,Karla Sofía Gascón,transgender female,,,,,,
1002406,Q28058330,Roberta Marrero,transgender female,,,,,,
1003637,Q1967080,Paula Denyer,transgender female,,,,,,
1006747,Q6502596,Laverne Cox,transgender female,,,,L484,,she/her
1008581,Q958281,Buck Angel,transgender male,,,,,,
1010812,Q107370384,Estrella Estévez,transgender female,,,,,,
1010846,Q146776,Zanele Muholi,non-binary,,,,L371,,they/them
1010970,Q868906,Ai Haruna,transgender female,,,,,,
1015917,Q274154,Sam Bettens,transgender male,,,,,,
1019381,Q16292920,Stacey Smith?,transgender female,,,,,,
1022772,Q505335,Brandon Teena,transgender male,,,,,,
1023916,Q12979994,Q12979994,male organism,,,,,,
1023969,Q16201454,Gwen Haworth,transgender female,,,,,,
1024986,Q16731062,Janae Kroc,non-binary,,,,L484,,she/her
1026299,Q4207463,Yakov Kazhdan,transgender female,,,,,,
1032645,Q55731552,Kristian Ranđelović,intersex,,,,,,
1032646,Q55731552,Kristian Ranđelović,transgender male,,,,,,
1033534,Q63258343,Talisa García,transgender female,,,,,,
1040105,Q27975566,Merlyn Sopjan,transgender female,,,,,,
1040275,Q55824557,Paulien De Groote,transgender female,,,,,,
